"filename", "language", "TypeScript", "JSON", "JSON with Comments", "JavaScript", "HTML", "Vue", "XML", "CSS", "comment", "blank", "total"
"c:\Thực tập hè\GHTK\Jira Clone\JiraTypescript\src\views\Author.vue", "Vue", 0, 0, 0, 0, 0, 11, 0, 0, 0, 5, 16
"c:\Thực tập hè\GHTK\Jira Clone\JiraTypescript\src\views\Home.vue", "Vue", 0, 0, 0, 0, 0, 145, 0, 0, 1, 19, 165
"c:\Thực tập hè\GHTK\Jira Clone\JiraTypescript\src\views\Mainpage.vue", "Vue", 0, 0, 0, 0, 0, 9, 0, 0, 1, 1, 11
"c:\Thực tập hè\GHTK\Jira Clone\JiraTypescript\src\vite-env.d.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 1, 2, 8
"c:\Thực tập hè\GHTK\Jira Clone\JiraTypescript\tailwind.config.js", "JavaScript", 0, 0, 0, 20, 0, 0, 0, 0, 1, 3, 24
"c:\Thực tập hè\GHTK\Jira Clone\JiraTypescript\tsconfig.app.json", "JSON", 0, 23, 0, 0, 0, 0, 0, 0, 2, 3, 28
"c:\Thực tập hè\GHTK\Jira Clone\JiraTypescript\tsconfig.json", "JSON with Comments", 0, 0, 11, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Thực tập hè\GHTK\Jira Clone\JiraTypescript\tsconfig.node.json", "JSON", 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Thực tập hè\GHTK\Jira Clone\JiraTypescript\vite.config.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 2, 2, 21
"Total", "-", 465, 3148, 11, 130, 13, 1359, 307, 3, 145, 226, 5807
