"filename", "language", "JSON", "JSON with Comments", "JavaScript", "HTML", "TypeScript", "Vue", "SCSS", "XML", "comment", "blank", "total"
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\components\auth\forgotPassword\Forgot\index.vue", "Vue", 0, 0, 0, 0, 0, 83, 0, 0, 3, 14, 100
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\components\auth\forgotPassword\ValidForgot\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 41, 0, 3, 7, 51
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\components\auth\forgotPassword\ValidForgot\index.vue", "Vue", 0, 0, 0, 0, 0, 110, 0, 0, 4, 14, 128
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\components\auth\redirectLogin\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 19, 0, 0, 4, 23
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\components\auth\redirectLogin\index.vue", "Vue", 0, 0, 0, 0, 0, 39, 0, 0, 0, 12, 51
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\components\auth\regis\Regisform\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 19, 0, 0, 4, 23
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\components\auth\regis\Regisform\index.vue", "Vue", 0, 0, 0, 0, 0, 139, 0, 0, 4, 16, 159
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\components\auth\regis\Register\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 19, 0, 0, 4, 23
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\components\auth\regis\Register\index.vue", "Vue", 0, 0, 0, 0, 0, 90, 0, 0, 2, 19, 111
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\components\auth\regis\Valid\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 41, 0, 3, 7, 51
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\components\auth\regis\Valid\index.vue", "Vue", 0, 0, 0, 0, 0, 107, 0, 0, 0, 9, 116
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\components\backlog\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 48, 0, 2, 9, 59
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\components\backlog\index.vue", "Vue", 0, 0, 0, 0, 0, 441, 0, 0, 27, 99, 567
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\components\board\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 38, 0, 2, 4, 44
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\components\board\index.vue", "Vue", 0, 0, 0, 0, 0, 406, 0, 0, 19, 46, 471
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\components\issueType\bug\index.vue", "Vue", 0, 0, 0, 0, 0, 189, 0, 0, 11, 17, 217
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\components\issueType\stori\index.vue", "Vue", 0, 0, 0, 0, 0, 194, 0, 0, 11, 17, 222
